Movie_name,Release_year,Movie_rating,Director of movie,Starring
The Hitchhiker's Guide to the Galaxy,(2005),60%,Garth Jennings,"Sam Rockwell, Zooey Deschanel, Yasiin Bey, Martin Freeman"
The Endless,(2018),92%,"Justin Benson, Aaron Moorhead","Aaron Moorhead, Justin Benson, Tate Ellington, Callie Hernandez"
Los Cronocrímenes (Timecrimes),(2007),89%,Nacho Vigalondo,"Karra Elejalde, Candela Fernández, Nacho Vigalondo, Bárbara Goenaga"
Ad Astra,(2019),83%,James Gray,"Brad Pitt, Tommy Lee Jones, Ruth Negga, Liv Tyler"
Westworld,(1973),86%,Michael Crichton,"Richard Benjamin, James Brolin, Yul Brynner, Alan Oppenheimer"
High Life,(2019),82%,Claire Denis,"Robert Pattinson, Juliette Binoche, André Benjamin, Mia Goth"
Coherence,(2014),88%,James Ward Byrkit,"Emily Foxler, Maury Sterling, Nicholas Brendon, Elizabeth Gracen"
The Rocky Horror Picture Show,(1975),79%,Jim Sharman,"Tim Curry, Susan Sarandon, Barry Bostwick, Richard O'Brien"
Midnight Special,(2016),83%,Jeff Nichols,"Michael Shannon, Joel Edgerton, Kirsten Dunst, Adam Driver"
Wizards,(1977),59%,Ralph Bakshi,"Barbara Sloane, Hyman Wein, Christopher Tayback, Angelo Grisanti"
Annihilation,(2018),88%,Alex Garland,"Natalie Portman, Jennifer Jason Leigh, Gina Rodriguez, Tessa Thompson"
Contact,(1997),66%,Robert Zemeckis,"Jodie Foster, Matthew McConaughey, James Woods, John Hurt"
The Congress,(2014),73%,Ari Folman,"Robin Wright, Harvey Keitel, Danny Huston, Paul Giamatti"
Flight of the Navigator,(1986),84%,Randal Kleiser,"Joey Cramer, Veronica Cartwright, Cliff De Young, Sarah Jessica Parker"
Little Shop of Horrors,(1986),90%,Frank Oz,"Rick Moranis, Ellen Greene, Steve Martin, Levi Stubbs"
Alita: Battle Angel,(2019),61%,Robert Rodriguez,"Rosa Salazar, Christoph Waltz, Jennifer Connelly, Mahershala Ali"
Ready Player One,(2018),72%,Steven Spielberg,"Tye Sheridan, Olivia Cooke, Ben Mendelsohn, Simon Pegg"
Plan 9 from Outer Space,(1959),67%,Edward D. Wood Jr.,"Bela Lugosi, Lyle Talbot, Tor Johnson, Gregory Walcott"
Rollerball,(1975),66%,Norman Jewison,"James Caan, John Houseman, Maud Adams, John Beck"
Silent Running,(1972),71%,Douglas Trumbull,"Bruce Dern, Jesse Vint, Cliff Potts, Ron Rifkin"
War of the Worlds,(2005),75%,Steven Spielberg,"Tom Cruise, Dakota Fanning, Justin Chatwin, Miranda Otto"
Metropolis,(2002),86%,Rintaro,"Jamieson Price, Yuka Imoto, Toshio Furukawa, Keiji Kobayashi"
Godzilla Resurgence (Shin Godzilla),(2016),86%,"Hideaki Anno, Shinji Higuchi","Hiroki Hasegawa, Satomi Ishihara, Yutaka Takenouchi, Ren Osugi"
Star Trek III - The Search for Spock,(1984),79%,Leonard Nimoy,"William Shatner, DeForest Kelley, James Doohan, George Takei"
Rogue One: A Star Wars Story,(2016),84%,Gareth Edwards (V),"Felicity Jones, Diego Luna, Mads Mikkelsen, Ben Mendelsohn"
The Fountain,(2006),52%,Darren Aronofsky,"Hugh Jackman, Rachel Weisz, Ellen Burstyn, Mark Margolis"
Logan's Run,(1976),62%,Michael Anderson,"Michael York, Jenny Agutter, Richard Jordan, Farrah Fawcett"
The Blob,(1958),68%,"Irvin S. Yeaworth Jr., Irvin Shortess Yeaworth, Jr.","Steve McQueen, Aneta Corsaut, Earl Rowe, Olin Howland"
Scanners,(1981),70%,David Cronenberg,"Stephen Lack, Jennifer O'Neill, Patrick McGoohan, Lawrence Z. Dane"
Things to Come,(1936),93%,William Cameron Menzies,"Raymond Massey, Ralph Richardson, Edward Chapman, Margaretta Scott"
Cube,(1998),63%,Vincenzo Natali,"Nicole de Boer, Nicky Guadagni, David Hewlett, Maurice Dean Wint"
Strange Days,(1995),63%,Kathryn Bigelow,"Ralph Fiennes, Angela Bassett, Juliette Lewis, Tom Sizemore"
Heavy Metal,(1981),60%,"Jimmy T. Murakami, Gerald Potterton","Don Francks, Richard Romanus, Harvey Atkin, Thor Bishopric"
A Boy and His Dog,(1975),76%,L.Q. Jones,"Don Johnson, Susanne Benton, Jason Robards, Tiger"
A.I. Artificial Intelligence,(2001),74%,Steven Spielberg,"Haley Joel Osment, Frances O'Connor (II) , Jude Law, Sam Robards"
The Day of the Triffids,(1963),76%,"Freddie Francis, Steve Sekely, Steve Sekeley","Howard Keel, Nicole Maurey, Janette Scott, Kieron Moore"
When Worlds Collide,(1951),78%,Rudolph Maté,"Richard Derr, Barbara Rush, John Hoyt, Larry Keating"
Sunshine,(2007),77%,Danny Boyle,"Cillian Murphy, Chris Evans, Rose Byrne, Michelle Yeoh"
Liquid Sky,(1983),95%,Slava Tsukerman,"Anne Carlisle, Paula E. Sheppard, Susan Doukas, Otto von Wernherr"
Dark Star,(1974),78%,John Carpenter,"Brian Narelle, Andreijah Pahich, Carl Duniholm, Carl Kuniholm"
Open Your Eyes (Abre los Ojos),(1999),85%,Alejandro Amenábar,"Eduardo Noriega, Penelope Cruz, Chete Lera, Fele Martínez"
Paprika,(2006),84%,Satoshi Kon,"Megumi Hayashibara, Tôru Furuya, Katsunosuke Hori, Toru Emori"
Serenity,(2005),82%,Joss Whedon,"Nathan Fillion, Gina Torres, Alan Tudyk, Morena Baccarin"
Turbo Kid,(2015),91%,"Anouk Whissell, François Simard, Yoann-Karl Whissell","Munro Chambers, Laurence Leboeuf, Michael Ironside, Aaron Jeffery"
THX 1138,(1971),86%,George Lucas,"Robert Duvall, Donald Pleasence, Don Pedro Colley, Maggie McOmie"
Attack the Block,(2011),90%,Joe Cornish,"John Boyega, Jodie Whittaker, Alex Esmail, Franz Drameh"
Upgrade,(2018),88%,Leigh Whannell,"Logan Marshall-Green, Betty Gabriel, Harrison Gilbertson, Benedict Hardie"
Star Trek: First Contact,(1996),92%,Jonathan Frakes,"Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton"
The World's End,(2013),89%,Edgar Wright,"Simon Pegg, Nick Frost, Paddy Considine, Martin Freeman"
Invasion of the Body Snatchers,(1978),93%,Philip Kaufman,"Donald Sutherland, Brooke Adams, Leonard Nimoy, Veronica Cartwright"
The Host,(2007),93%,Bong Joon Ho,"Song Kang Ho, Park Hae-il, Byun Hee-bong, Doona Bae"
A Quiet Place,(2018),96%,John Krasinski,"Emily Blunt, John Krasinski, Millicent Simmonds, Noah Jupe"
Star Wars: Episode VII - The Force Awakens,(2015),93%,J.J. Abrams,"Daisy Ridley, John Boyega, Adam Driver, Harrison Ford"
Repo Man,(1984),98%,Alex Cox,"Emilio Estevez, Harry Dean Stanton, Tracey Walter, Olivia Barash"
Starship Troopers,(1997),65%,Paul Verhoeven,"Casper Van Dien, Dina Meyer, Denise Richards, Jake Busey"
The Fifth Element,(1997),71%,Luc Besson,"Bruce Willis, Ian Holm, Gary Oldman, Chris Tucker"
V for Vendetta,(2006),73%,James McTeigue,"Natalie Portman, Hugo Weaving, Stephen Rea, John Hurt"
Dredd,(2012),79%,Pete Travis,"Karl Urban, Olivia Thirlby, Wood Harris, Lena Headey"
The Brother from Another Planet,(1984),89%,John Sayles,"Joe Morton, Darryl Edwards, Steve James, Leonard Jackson"
The Adventures of Buckaroo Banzai,(1984),68%,W.D. Richter,"Peter Weller, John Lithgow, Ellen Barkin, Jeff Goldblum"
World on a Wire,(1973),100%,,
Dark City,(1998),76%,Alex Proyas,"Rufus Sewell, Kiefer Sutherland, Jennifer Connelly, William Hurt"
Under the Skin,(2014),84%,Jonathan Glazer,"Scarlett Johansson, Paul Brannigan, Krystof Hádek, Antonia Campbell-Hughes"
The Man Who Fell to Earth,(1976),82%,Nicolas Roeg,"David Bowie, Rip Torn, Candy Clark, Buck Henry"
The Fly,(1986),92%,David Cronenberg,"Jeff Goldblum, Geena Davis, John Getz, Joy Boushel"
Cloverfield,(2008),78%,Matt Reeves,"Lizzy Caplan, Jessica Lucas, T.J. Miller, Michael Stahl-David"
Men in Black,(1997),92%,Barry Sonnenfeld,"Will Smith, Tommy Lee Jones, Linda Fiorentino, Vincent D'Onofrio"
TRON,(1982),72%,Steven Lisberger,"Jeff Bridges, Bruce Boxleitner, David Warner, Cindy Morgan"
Bumblebee,(2018),91%,Travis Knight,"Hailee Steinfeld, John Cena, John Ortiz, Jason Drucker"
Independence Day,(1996),67%,Roland Emmerich,"Will Smith, Bill Pullman, Jeff Goldblum, Mary McDonnell"
Barbarella,(1968),74%,Roger Vadim,"Jane Fonda, John Phillip Law, David Hemmings, Anita Pallenberg"
Donnie Darko,(2001),86%,Richard Kelly,"Jake Gyllenhaal, Jena Malone, Mary McDonnell, Drew Barrymore"
Pacific Rim,(2013),72%,Guillermo del Toro,"Charlie Hunnam, Idris Elba, Rinko Kikuchi, Diego Klattenhoff"
Idiocracy,(2006),74%,Mike Judge,"Luke Wilson, Maya Rudolph, Dax Shepard, Terry Crews"
Fahrenheit 451,(1966),81%,François Truffaut,"Oskar Werner, Julie Christie, Cyril Cusack, Anton Diffring"
Demolition Man,(1993),60%,Marco Brambilla,"Sylvester Stallone, Wesley Snipes, Sandra Bullock, Nigel Hawthorne"
A Scanner Darkly,(2006),67%,Richard Linklater,"Keanu Reeves, Robert Downey Jr., Woody Harrelson, Winona Ryder"
Source Code,(2011),92%,Duncan Jones,"Jake Gyllenhaal, Michelle Monaghan, Vera Farmiga, Jeffrey Wright"
The Abyss,(1989),89%,James Cameron,"Ed Harris, Mary Elizabeth Mastrantonio, Michael Biehn, Leo Burmester"
Rise of the Planet of the Apes,(2011),81%,Rupert Wyatt,"James Franco, Freida Pinto, Andy Serkis, John Lithgow"
Altered States,(1980),85%,Ken Russell,"William Hurt, Blair Brown, Bob Balaban, Charles Haid"
Predestination,(2015),84%,"Michael Spierig, Peter Spierig","Ethan Hawke, Sarah Snook, Noah Taylor, Christopher Kirby"
They Live,(1988),86%,John Carpenter,"Roddy Piper, Keith David, Meg Foster, Peter Jason"
Seconds,(1966),89%,John Frankenheimer,"Rock Hudson, Salome Jens, John Randolph, Will Geer"
